variant,label,scope,n,model_requests,total_tokens,duration_seconds,top_1,top_3,top_5,top_10,mrr_at_10
retrieval_baseline,Retrieval baseline,all_38,38,0,0,0.0,0.3947,0.5263,0.6053,0.7105,0.4945
retrieval_baseline,Retrieval baseline,selected_11,11,0,0,0.0,0.1818,0.3636,0.4545,0.5455,0.3068
metadata_only,Metadata only,all_38,38,11,201075,140.615,0.4737,0.7105,0.7632,0.8421,0.6031
metadata_only,Metadata only,selected_11,11,11,201075,140.615,0.4545,1.0000,1.0000,1.0000,0.6818
metadata_retrieval,Metadata + retrieval reasons,all_38,38,11,290136,180.06,0.5263,0.6842,0.7632,0.8421,0.6215
metadata_retrieval,Metadata + retrieval reasons,selected_11,11,11,290136,180.06,0.6364,0.9091,1.0000,1.0000,0.7455
full_evidence,Full evidence package,all_38,38,11,409285,201.042,0.5000,0.6842,0.7632,0.8421,0.6127
full_evidence,Full evidence package,selected_11,11,11,409285,201.042,0.5455,0.9091,1.0000,1.0000,0.7152
