dataset,setting,n,llm_calls,selected_fraction,tokens,avg_tokens_per_case,runtime_seconds,avg_runtime_per_case,top_1,top_3,top_5,top_10,mrr
Closure-61..100,Retrieval only,38,0,0.0,0,0.0,0.0,0.0,0.39473684210526316,0.5263157894736842,0.6052631578947368,0.7105263157894737,0.49451754385964913
Closure-61..100,Full one-shot rerank-all,38,38,1.0,1420902,37392.15789473684,706.7099999999999,18.597631578947368,0.7368421052631579,0.9210526315789473,0.9736842105263158,0.9736842105263158,0.8219298245614035
Closure-61..100,Selective one-shot rerank,38,11,0.2894736842105263,408568,37142.545454545456,178.83800000000002,16.258000000000003,0.5526315789473685,0.7105263157894737,0.7631578947368421,0.8421052631578947,0.6513157894736842
Math-21..40,Retrieval only,20,0,0.0,0,0.0,0.0,0.0,0.7,0.95,0.95,0.95,0.8166666666666667
Math-21..40,Full one-shot rerank-all,20,20,1.0,652313,32615.65,395.424,19.7712,0.9,1.0,1.0,1.0,0.95
Math-21..40,Selective one-shot rerank,20,3,0.15,106016,35338.666666666664,48.862,16.287333333333333,0.8,1.0,1.0,1.0,0.8916666666666666
AboutWork-60,Retrieval only,60,0,0.0,0,0.0,0.0,0.0,0.5666666666666667,0.8333333333333334,0.9166666666666666,0.9333333333333333,0.6976587301587301
AboutWork-60,Full one-shot rerank-all,60,60,1.0,1867359,31122.65,1151.8419999999996,19.19736666666666,0.8833333333333333,0.9833333333333333,1.0,1.0,0.9263888888888889
AboutWork-60,Selective one-shot rerank,60,16,0.26666666666666666,519530,32470.625,336.03400000000005,21.002125000000003,0.7,0.95,0.9666666666666667,0.9666666666666667,0.8116666666666668
