dataset,dataset_display_name,method,method_display_name,role,n,max_depth,miss_count,mrr,median_rr,sd_rr,iqr_rr,median_capped_rank,iqr_capped_rank,miss_cap,top_1_hits,top_1_accuracy,top_3_hits,top_3_accuracy,top_5_hits,top_5_accuracy,top_10_hits,top_10_accuracy,top_50_hits,top_50_accuracy,top_100_hits,top_100_accuracy,missing_predictions,extra_predictions
compress_frozen_1_40,Compress 1--40,retrieval_top10,Retrieval,baseline,40,10,1,0.829861111111111,1.0,0.3089482395480642,0.125,1.0,0.25,11,30,0.75,37,0.925,38,0.95,39,0.975,39,0.975,39,0.975,0,0
compress_frozen_1_40,Compress 1--40,selective_rerank,Selective rerank,main,40,10,1,0.8465277777777779,1.0,0.29930722876165866,0.0,1.0,0.0,11,31,0.775,37,0.925,38,0.95,39,0.975,39,0.975,39,0.975,0,0
